<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>醉題</title>,<text>佳節那無一會期。酒徒詞客共追隨。平陂嫩艾宜春擷。小市香粳當夕炊。樓爲看山褰箔久。盃因覓句下籌遲。柴門月色江村路。駄醉歸來分外奇。</text>
<title>書懷</title>,<text>歸去田園尙志高。披羊嚴子畵牛陶。明窓凈几兼黃卷。紅否靑松間碧桃。半世交情輕管鮑。百年勳業陋蕭曹。春江正好扁舟泛。隨意烟波理短篙。</text>
<title>送春川太守</title>,<text>黃堂岺寂隔喧哤。峽俗猶存太古厖。貊國風烟連穢國。漢江波浪接昭江。仁能及物春馴雉。政不煩民夜卧狵。肯許一廛容我否。鹿門耕釣欲追龐。</text>
<title>沈仲美江亭留題</title>,<text>八詠樓臨二水邊。佳賓滿座酒爲年。三盃大道通千古。一斗新詩理百篇。臘盡庭梅開似雪。春回岸柳暖含烟。巷南巷北追遊地。終老江湖別有天。</text>
<title>山寺</title>,<text>積氣高撑宇宙中。玆山千古㝡爲雄。危石細通樵子路。浮雲長護梵王宮。寒崖凜栗猶看雪。古木蕭森自起風。禪窓暫聽沙彌語。始覺吾人俗累空。</text>
<title>周濂溪</title>,<text>道喪誰能繼聖神。濂溪千載紹宗眞。圖書有象開充蘊。風月無邊沃我人。繞檻落花時散帙。滿庭芳草隔浮塵。斯文有幸傳來遠。今古重沾化雨春。</text>
<title>程明道伊川</title>,<text>道學源源仰聖神。河南兄弟獲傳眞。心符太極光前烈。天啓斯文淑後人。皎日秋霜驚薄俗。和風甘雨挹淸塵。等閑識破東風面。鳴鳥閑花捴是春。</text>
<title>邵康節</title>,<text>胷中造化已通神。物理看來體認眞。卦演先天初設象。書陳皇極始驚人。閒推今古機尤妙。嘯傲乾坤類出塵。三十六宮旋運處。鳶飛魚躍物皆春。</text>
<title>朱晦庵</title>,<text>道統相傳聖與神。派分濂洛續來眞。四書蘊藉傳諸子。六籍精微啓後人。志氣淸明超物表。胷襟澄澈絶纖塵。斯文不墜瞻遺像。留得人間萬古春。</text>
<title>戱題</title>,<text>公門舊事慣知聞。長袖平生善舞文。謀改簿書乘夜半。利逢詞訟待秋分。豐衣豈是家間織。積糓元非野外耘。誇道術中無不墜。古來虛說有神君。右詠老吏凝粧宿習已消磨。送盡繁華奈老何。頭白自嗟今戴雪。眼昏誰信舊橫波。塵生鏡匣鸞空貼。香歇花房蝶不過。長說宴筵檀板碎。夢中猶唱少時歌。右詠老妓幻得嬌嬈伺夜昏。戴入顱骨作人言。常要獨客潛當逕。却避羣狵怕近村。呈媚幾多搖九尾。遇妖強半失三䰟。眞形假爾尤成禍。爾假眞形豈足論。右詠老狐</text>
<title>送洪季和 萬煕 出宰白川 季和弟汝廓萬恢。時爲安岳郡守。</title>,<text>銀川百里近楊山。二邑山川屬二難。淸凈秉心宜號白。惠仁爲政合稱安。鳳城風雨日將暮。驛路烟花春已殘。景物惱人堪歎老。又添離恨倍闌珊。</text>
<title>寄題交河柳松禾 晑 梅竹堂。次壁上諸人韻。</title>,<text>晩歲幽居計未差。一江風月浩無涯。寬心是酒含杯慣。遣興唯詩點筆斜。趁臘早梅香欲放。傲冬寒竹節紛姱。祗應獨占閒中趣。莫向塵埃俗子誇。</text>
<title>贈別蔚山府使鄭仁叟 壽俊</title>,<text>纔返關東又嶺南。輶軒曾不一年淹。交情轉向竆途密。離恨偏從暮境添。堪羡奇遊觀海壯。自憐覊踪着泥黏。朝廷正要絲綸手。寵渥徵黃自可占。</text>
<title>李盈德公直 敬秀 見寄要和。次其韻以寄。</title>,<text>平生讒謗積如邱。達識從來百不憂。竆巷閉門塵事少。小軒開卷道情稠。陰雲掩日風驅雨。平陸成江浪泊舟。禾稼盡沈民命近。何心賞翫倚高樓。今年水灾罕古來。詩有携酒登樓語。晩築城西占一邱。詩能遣興酒忘憂。浮天浪勢侵軒近。帶雨嵐光入戶稠。已把榮名同弊屣。好將身世付虛舟。詩來喚起滄洲趣。待子携壺共倚樓。</text>
<title>復次公直再疊韻</title>,<text>美政君如陳太邱。爲民而樂爲民憂。楊州詩興官梅發。栗里閒情籬菊稠。好士幾懸徐孺榻。論交叨泛李膺舟。明珠滿篋銀鉤動。助我添修五鳳樓。今古由來貉一邱。貴何爲喜賤何憂。纔經縣令憐君詘。已忝騎郞覺我稠。鮮可鎭脾飛膾雪。酒宜除濕棹觥舟。想應琴鶴餘裝在。也肎相邀醉小樓。</text>
<title>復次前韻。却寄公直。公直答余前詩。有琴鶴孤舟。行槖蕭然之語。故此萹及之。</title>,<text>潭潭軒宇接陵邱。饘粥朝晡不甚憂。琴鶴行裝知已簡。菟裘産業見曾稠。市中豪僕供甘旨。湖右庄奴貢麥舟。淋雨子桑饑十日。一盃何吝共登樓。</text>
<title>次人韻</title>,<text>竆巷無人問索居。雀羅門外暮春初。何須季子腰間印。要看眞仙肘後書。體胖廣譽寧願繡。家貧晩食足當魚。閒中賴有知音在。時寄詩筒分不踈。百年天地又逢春。萬事人間鬢欲新。踏雪灞橋吟骨冷。尋花錦水醉眉顰。塩車詎展追風足。涸轍難容橫海鱗。可笑靈均詹尹卜。遠遊何必問蒼旻。</text>
<title>己巳暮春。過柳令萬春。呼韻口占。</title>,<text>淸和風日艶陽辰。人事天心故故新。軟柳靦將霜竹並。貞松羞與露花隣。高車駟馬多顚轍。豆粥甘泉足保身。感物傷時休浪說。一盃相屬不嫌頻。</text>
<title>叔九次禹卿韻見示。更步却寄。</title>,<text>多君筆力薄巫廬。讀盡人間未見書。蟬翼宦情甘斂迹。羊膓世路戒摧車。一枝春漏梅將放。六琯灰浮柳欲舒。新艾吐芽看漸嫩。不妨同擷雪消初。鴈序差池我較兄。百年懽戚一家情。窮通命也那須道。喪病撓之最可驚。菽水爲憂何日解。林泉有計幾時營。關心萬事都無賴。相對惟宜各盡觥。</text>
<title>李生厚源梅月堂宗會詩韻</title>,<text>人傑由來驗地靈。廣陵山色秀而靑。遁翁義烈興頑懦。僖相忠勤贊緯經。已著茂勛輝簡策。尙留遺訓在家庭。試看梅月堂前景。月並梅花永不零。遁村及忠僖公仁孫。皆李生先祖也。肥遯高人有古訓。匪雕匪朴至今存。盈盈馨德梅千朶。皎皎淸名月一痕。遺世謝榮閑是業。養眞緣督道爲根。欲知先輩揚芬地。肯搆餘徽在後孫。</text>
<title>送沈汝器出牧尙州</title>,<text>都會東南此㝡雄。上流形勢據要衝。江山宛帶前王國。民物猶存太古風。睿簡在庭咨岳牧。地餘游刃得黃龔。君歸倘諗商顔老。大隱誰知有一翁。</text>
<title>洪白川季和 萬煕 挽</title>,<text>童丱科名古莫先。沁園榮動鳳樓前。纔踰王勃趍庭歲。羞少蘭成射策年。大闡世皆期遠到。卑棲誰料失高騫。承家尙有聯雙璧。食報應看慶益綿。憶子分符向白川。暮途離恨兩相牽。䰟夢幾惱淸宵訪。情味猶憑赤牘傳。載鶴歸裝纔屬耳。騎鯨仙馭忽飄然。病中竟失重逢會。可耐無從涕徹泉。</text>
<title>四月八日夜。會飮觀燈于柳萬春家。</title>,<text>萬縷垂楊拂禁城。一天燈火曜空明。今宵詩酒論襟地。何處笙歌咽耳聲。睒睒欲將殘月幷。暉暉還與衆星爭。孤臣尙有丹心在。不共寒灰滅復生。</text>
<title>次柳萬春韻</title>,<text>槭槭秋聲落病桐。五更晨皷報籠銅。坡詩。籠銅鼓報衙。 延年妙術閑爲業。處世神方靜是功。禍怕燃眉宜止謗。戒存緘口莫興戎。滔滔季葉何須道。晩契唯君臭味同。吾衰無復夢周公。底事東華踏軟紅。擬挾泰山超碧海。欲將長劒倚靑穹。成虧未透神三昧。生滅纔窺佛六通。披甲據鞍非我事。莫如歸去隱蒿蓬。</text>
<title>送北靑通判族弟兪季毅 命弘</title>,<text>鐵嶺蟠天接海陬。關河千里去悠悠。霜驚鴈背迎秋早。風掣鯨牙蹙浪浮。一路要衝安北府。五川形勝鎭南樓。祗應夜夜思親夢。捴入轅門角裏愁。安北。北靑別號。玉川。樓前大川名。</text>
<title>鄭奉事孟謙 益相 醉墨堂十八詠</title>,<text>崔崒鰲岑聳玉寒。正看新月出林端。弛弦欲滿彎猶澁。半玦將圓輾尙難。翳杵免嫌霞綺散。滑輪蟾喜露珠溥。幽人此夜愁無限。感物傷時淚不乾。右鰲峀新月一竿斜日欲銜山。曲港分明返照間。高樹亂鴉金背閃。暖沙眠鷺玉衣閒。畵師筆下丹靑活。織女機頭紫翠斑。暝色入郊林影黑。更看初月映松關。右鷗港返照望裏人家凡幾家。一村桑柘白烟斜。朝承旭日隨飛雨。暮逐輊風趁晩霞。羃野成羅驚宿鳥。繞枝爲幄護棲鴉。太平氣象渾裝點。王化由來遍邇遐。右中里炊烟斜陽落盡暝烟霏。處處漁燈點石磯。霜渚鷺鷗驚罷睡。露天星月妬爭輝。隨風遠影穿林小。帶雨殘光隔水微。籬竇忽聞狵也吠。夜深知有得魚歸。右內洞漁火月落譙樓角一聲。草堂淸曉夢初驚。唱殘碧海吹潮上。裂破彤雲喚日生。亂入村墟和杵響。細傳衙閣雜琴鳴。也知太守憂民切。早起應勞撫字情。右江城曉角蘭若臨江薄暮鍾。上方斜日殷晴峰。逈翻怒浪龍吟海。細撼踈林鶴警松。色現慧航資妙悟。戒嚴迷道起昏慵。同安深省眞儒事。問法何年杖一筇。右浮山暮鍾一帶平川起暝烟。月寒沙鷺宿娟娟。費心竟日窺魚倦。隨意通宵伴鴨眠。頸怕風高交翅揷。足嫌風冷縮毛拳。江湖舊約吾無負。共爾忘機理釣船。右方川宿鷺秋風吹起洞庭群。一一銜蘆帶夕曛。爲啄稻粱依凍畒。畏逢矰繳落寒雲。遠經朔漠書難致。細點平沙字易分。觸雪冒霜毛羽短。暮聲悽斷不堪聞。右大浦落鴈晩風晴日漾明湖。萬古胥潮一蹴驅。突兀雪山銀屋立。指揮河伯海神趨。大聲吹轉天疑析。壯勢呑饕地欲無。咫尺滄溟應不隔。會看鵬翼掣南圖。右東湖晩潮筆麓逶蛇鎭郭南。氣蒸山澤釀成嵐。低垂半腹靑羅幄。乍露孱顔碧玉篸。初帶曉雲籠遠峀。旋承朝旭蘸澄潭。晩來忽逐輕風散。但見天光動蔚藍。右南郭朝嵐千尺高㙜號自溫。巉岩蒼壁壓山根。鰲頭揷海蹲仍伏。鵬噣褰雲浴始翻。紅粉有㤪留月色。翠華無迹染苔痕。騷人吊古傷心處。倚棹春風酒一樽。右溫㙜蒼壁鰲背千年力已竆。任敎蓬島落天東。猶嫌汚濁超塵外。故喜淸冷入水中。峰露半顔藏霧雨。石撑全骨闘雷風。花巖側畔龍臺古。對峙雙蹲較孰雄。右場巖孤嶼澄江如練鏡新磨。隱隱帆檣簇簇多。掠岸遠將山日沒。飽風斜趁渚烟和。鷗邊夢斷光搖月。鴈外聲寒影蹴波。來去營營緣底事。半爲官粟半私鹺。右蛤灘歸帆一江風浪碧粼粼。漁子撑船戛白蘋。潮上海門初擧網。日沉沙渚未收緡。杏村沽酒邀同伴。柳市分魚詑比隣。兩笠雪簑吾已具。暮年隨爾共相親。右塩倉撒網戍削層巒似筆尖。半空殘靄落纖纖。斜連暝色侵排闥。暗拖寒光透入簾。鶴返洞巢尋樹㥘。客歸山店失途嫌。閑中亦足供詩料。畵裏依然水墨添。右筆峰暝靄遠望光岡積雪堆。崖沉谷沒白皚皚。一雙范斗峰峰碎。無數張梨樹樹開。霽色正宜褰箔對。冷光還怕入簷來。山陰此夜堪乘興。一掉何妨帶月迴。右花崗霽雪綠人燒痕草色柔。牧童腰笛倒騎牛。捻來野渡春潮急。唱斷雲霄晩靄收。舊譜學從隣老得。新翻誇向妓坊偸。百年未了關心事。羡爾平生不解愁。右前郊牧笛山木蒼蒼欝作林。樵兒斤斧日相侵。長歌斷續穿雲細。互答高低度壑深。走草駴鳴求友鹿。落巢驚散護雛禽。爛柯欲識仙家趣。須向碁翁局上尋。右後洞樵歌</text>
<title>擊壤歌帝力 課製</title>,<text>老人頭白戱婆娑。日醉衢樽擊壤歌。閒處豈知蒙帝力。樂時惟覺養神和。三椽已足天奚大。百畒猶寬地不多。除却鑿耕無箇事。飢須含哺飽須哦。</text>
<title>執筐求柔桑 課製</title>,<text>新蠶上箔采繁香。春日遲遲媚陌桑。挽下嫩枝風卷袂。摘來柔葉露盈筐。祗期養到三眠熟。要待繅成一匹長。寄語兒女休道苦。最憐南畒汗翻漿。</text>
<title>堂弟進士禹卿 錫夏 見與柳萬春韻次送。更和寄。</title>,<text>長繩無計挽飛光。百歲風燈過眼忙。殘葉落來埋小逕。寒花開滿映中堂。厭聞喧閙聾何害。廢看詩書病可傷。酒戶比年知漸窄。淺深隨宜強含觴。新詩如錦爛生光。盥手開緘不覺忙。學海已知源浩浩。騷壇誰禦陣堂堂。偏師詎免輿尸咎。代斲還愁血指傷。爲讓一頭先自退。更將樽酒闘盃觴。</text>
<title>禹卿見示一律。次其韻却寄。</title>,<text>桂影參差碾碧空。淸無纖翳靜無風。半天霜露三更後。大地山河一色中。老去昏眸渾作霧。醉來豪氣欲成虹。城南咫尺不相見。獨對殘樽誰與同。</text>
<title>次柳萬春見寄韻以呈</title>,<text>炙背冬暄近短簷。翳烟昏霧並廉纖。菊持晩節枝枝亞。竹傲輕寒葉葉尖。休道閒忙元異路。可憐貧病故相兼。閑餘隱几無多事。門外雲山翠滴簾。</text>
<title>次萬春賦名馬韻</title>,<text>嘶風紫陌踏香街。云是龍媒自渥洼。麾盖莫誇騎赤兎。擧鞭堪笑策黎騧。超騰峻阪山無頂。蹴破長河水涸涯。直可一揮淸塞北。肯敎虛老縮如蝸。</text>
<title>次淸澗亭韻。送杆城太守李子明。寅熽</title>,<text>雪盡長安霽色開。雙鳧搖影向蓬萊。千尋氣勢波濤立。萬古光輝日月來。春晩沙汀鳩拂席。夜闌風露鶴呈杯。翛然直欲逐君去。陟遍仙區多少臺。</text>
<title>送李芳卿 國芳 之任鍾城</title>,<text>謫官關南已十年。山川謠俗尙能傳。難治易亂唯今甚。大黯小痴從古然。徒愛罔威虧吏績。秪文無武墜兵權。煩君莫作平平看。舒慘弛張戒或偏。</text>
<title>星山李氏。隴西公後。文烈公以下。敬元公，文忠公，文景公至判尹公。世有聞人。遺像儼然。至今猶存。奉安于本州五峰寺。其後孫有模像而來者。方奉安于李參議煇古 光廸 家。內外諸孫。皆詣瞻拜。李上舍 錫周 先拈韻詠其事。余亦忝在外裔之末。故不揆僭猥。奉和以呈輝古。晉之王謝。宋之范韓。世出名人。故項聯引用。</title>,<text>隴西公後世多賢。舃奕家聲累百年。偉蹟可追韓范後。淸標無讓謝王前。徽名炳焯森如在。眞像凝嚴秘尙傳。瞻慕何殊孫內外。更勤裒輯誦遺篇。</text>
<title>李盈德秀夫志傑。舊時同硏友也。以盈德事繫再經冬。不免遠謫昆陽。臨別。走筆以贈之。</title>,<text>靑蓮李與碧珍李。異代風流各一時。塵界謫來應類也。夜郞行色亦如之。世皆欲殺誰爲崇。吾獨憐才爾自知。嶺海豈能令死子。會看恩赦下丹墀。</text>
<title>次柳萬春寄示韻</title>,<text>到老劬書膝穿床。不知曾閱幾炎凉。蛟龍縱未逢雷雨。松柏猶能耐雪霜。只爲性成甘土炭。非緣藝亢侈文章。可憐一蠧終無用。謾破芸編萬軸香。</text>
<title>靑蓮寺</title>,<text>靑蓮寺裏謫仙樓。天寶山中遠客遊。殿壓平林看宿鳥。門臨大野見歸牛。分明日月輝三界。漭蕩乾坤繞十洲。投紱何時依老宿。自慙人世此生浮。</text>
<title>九日赴人宴</title>,<text>都會千秋繼洛陽。良辰共把菊花觴。臨筵却愛紅粧映。吹帽寧羞白髮長。勝事敢追君實後。淸談誰解次公狂。傍人莫笑年差少。回甲今添一歲強。九秋奚啻兩重陽。對菊登高輒擧觴。倚笛歌聲愈覺爽。迎風舞袖不嫌長。任他粉白俱新態。奈此踈慵减舊狂。擾擾紅塵名利輩。誰知此會意差強。</text>
<title>無庵叔九。來傳李君實令公詩酒吟一律。和示。</title>,<text>詩成寫出自長吟。酒熟篘來好細斟。入口莫論賢聖味。寓懷誰較宋唐音。晩年漸覺收功密。閒日方知得趣深。預築糟邱連藝苑。幷邀歡伯醉詞林。</text>
<title>家贅安郞壽頤。袖示長律一首。步贈以勸勉。</title>,<text>見君投贈老夫詩。語警篇新字不違。通籍定看紆赤紱。决科何待點朱衣。志如放過同虧簣。業或隳來若斷機。文史三冬誠足用。及時須下蕫生幃。</text>
<title>柳萬春來訪。袖示長律。步韻却寄。</title>,<text>文如壯士挽黃間。五律詩成一筆端。自是溟鵬能變化。未應泥鱉敢躋攀。山容瘦盡巖呈兀。氷腹肥來水縮寒。雪夜剡溪宜放掉。不妨相對兩衰顔。百年交契片言間。恐負夫君取友端。秋堂酒熟要同醉。夜閣燈懸許共攀。眠月水禽依渚冷。避風林鵲踏枝寒。竆愁著述吾何敢。時得高篇慰病顔。</text>
