<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>偶吟</title>,<text>繼往開來孔孟傳。誰將斯道奉于天。人之出處元相異。莫以夷齊認魯連。</text>
<title>憂道吟</title>,<text>眞能憂道不憂貧。不愧于天不怍人。靜動藏行俱是易。是其人也是其神。</text>
<title>露湖</title>,<text>江心上下與天心。日照層鱗渾是金。誰識黯然天際象。萬歸爲一密森森。</text>
<title>六臣墓</title>,<text>公胡愧食首陽薇。謾使孤墳怨落暉。丹心耿耿今猶在。惟有靑天白日知。</text>
<title>東郊途中偶吟</title>,<text>雨後春光十倍靑。助余神氣浩然生。方知四聖無窮妙。能使天心萬世明。</text>
<title>孫武陵</title>,<text>海外溪山亦武陵。松篁隱隱四邊興。心閒始得濂翁趣。汀草離離滿意靑。</text>
<title>小丘</title>,<text>白玉人間世。芙蓉十里屛。儀章千萬億。次第下雲空。</text>
<title>次朴嘉平韻 名慶承。字基卿。</title>,<text>相離十年前。相對十年後。一笑更無言。新詩看在手。</text>
<title>又次</title>,<text>懷抱多年今始開。語從心曲不知裁。殊途已悟同歸妙。何事憧憧數往來。</text>
<title>挽宗姪參判震休伯起</title>,<text>月中重桂曲江蓮。出入銀臺雨露偏。朱芾早追前世煥。金書飛上九天懸。南湖治有三年效。北國恩承九代先。聞道年生勒索筆。信知名譽異邦傳。</text>
<title>次鄭道叔四吾堂韻</title>,<text>機池風月儘無邊。物外天非塵世天。求樂合求原憲樂。飮泉須飮伯夷泉。樊遅未可徒治稼。原壤何關但有年。莫使身名同草木。虛生虛死永無傳。</text>
<title>遐思嶺東嶺南</title>,<text>五岳三山與十洲。夢中何日不神遊。遙知萬二千峯月。半夜分涵碧海秋。</text>
<title>通津廣城</title>,<text>摩尼天畔起。瞻彼屹崔嵬。鴈送千峰雨。潮驅兩海雷。江流叉地大。地勢抱江廻。天險固如此。是誰保障才。又壯哉天設險。砥柱護王京。水自朝宗勢。山皆掎角形。繭絲豈父母。保障是朝廷。要害關防固。何憂敵國兵。又千里山河聚。都歸囊括中。江流交便歧。海道合而同。東北俱要害。西南盡會通。妙哉淸野術。坐使虜無功。又誰以繭絲地。化成保障天。固吾淸野郭。斷彼運糧船。應接宜乘利。轉漕自有便。人和勝地利。經濟在時賢。又西南形勝儘䧺大。隨意乾坤興自饒。數脚濕雲山雨暗。一聲鳴鴈海天遙。三秋灝氣前江月。萬里晴雷半夜潮。忽感盤風歸鶴勢。黯然天際思迢迢。</text>
<title>廣城秋夜</title>,<text>月色洗空星滿天。骨淸神會自無眠。心閒遙望秋山色。興到時吟大易篇。又寥寥秋夜長。欹枕聽潮聲。歸鴈亦何意。霜月獨自鳴。又偶坐自無寐。開窓聽潮聲。寥寥秋思遠。遙夜不勝情。又月明夜已曉。遠村犬吠聲。心閒玩羲易。天道自分明。</text>
<title>江都</title>,<text>昔觀楓嶽勝。今上摩尼山。地盡西南際。天傾東北間。昭明神自遠。包括量仍寬。默想吾師趣。黯然思萬端。又塹上臺高萬丈孤。怳然身在太虗無。西南巨浸無天地。東北諸山護國都。渾錯吾知眞造化。範圍誰識大䂓模。倘非夫子神明眼。疇判陰陽未畫圖。又一山分擘自千枝。萬水朝宗捴合歸。混混吾知大元氣。淵淵誰測至玄微。方圓庶度乾坤限。噓吸難尋槖籥機。以此能推無畫易。許君親自見包羲。又潮信循環自至誠。淵淵不測是神靈。恰如一大琉璃鏡。昭照方圓渾錯形。又摩尼山前秋月輝。鎭江山北早鴻飛。潮生潮落海消息。何自而來何自歸。又摩尼山前秋月輝。鎭江山北一鴈歸。潮落潮生海消息。往來惟有白鷗知。又江都關防意。候望是要旨。炮弩與火具。進退隨指使。</text>
<title>秋興</title>,<text>雲間千行鴈。天際萬重山。不知秋色裡。神遊阿那間。</text>
<title>江都歸興</title>,<text>西南山海大觀歸。正是高秋九月時。漢水看看愈好好。華山望望出奇奇。光如萬里琉璃鏡。勢若千群陣馬馳。形勝海東爲第一。信乎邦國大都畿。</text>
<title>詠李杜</title>,<text>盛唐文彩號彬彬。特立其中孰出群。白首拾遺杜陵老。靑蓮居士謫屳人。藻思浩汗能驅海。律法森嚴可泣神。眞意縱謙風雅頌。得之餘韻亦淸新。</text>
<title>無題</title>,<text>晨窓忽警衆鷄鳴。恰是簫韶奏九成。誰識自然天帝樂。一時三十六宮聲。</text>
<title>天人</title>,<text>大哉易之道。循環無終始。窮思欲擬議。懵然心如醉。想其混沌時。盖乃寂然耳。無中自有象。森然猶可指。陰陽包五行。歷歷無不備。陽動自渾然。渾然一元氣。天一數之始。化出眞元水。炎炎地二火。焦煎成渣滓。天三皷凮雷。摶成一塊子。燥以地四金。堅凝不可毁。充乎五數足。完成一大地。生成先後數。殫盡元宰技。廣乎三萬里。其勢平如砥。水載火以擧。上下均停止。璇璣外運健。萬古常不墜。乾坤始對待。尊卑各正位。虗實互包。形氣相依倚。七曜上森列。煌煌分躔次。山河下區域。高低分流峙。融融坎离氣。升降成泰否。氤氳自化醇。造化流不已。大哉而至哉。厥道自簡易。美利利天下。不言無不利。氣化與形化。流形分品類。氣以成其形。具此本然理。健順五常德。綱紀仁與義。誠實與分別。終始資信智。節之必於禮。非敬何能履。當其未動時。虛靜本無累。天下萬物事。都備腔子裡。有瀾自有波。幾動則曰意。從來四端緖。藹然隨感起。軆用本一源。動靜無二致。誰知一心中。感應別有異。分明七箇情。思恐憂怒喜。生於血肉氣。本自因滋味。元來四與七。頭面本自二。原生二箇字。本自分卒帥。未可彼勝此。只可此勝彼。危安在操捨。敬怠分生死。行身與處事。義慾分人鬼。君子知其然。常自克其己。孜孜實用力。意自無虛僞。消融與涵泳。恒一無參貳。洪爐點雪消。氣像自純粹。元來君子道。如斯而已矣。求精必自粗。行遠必自邇。人若厭小節。忽而俱廢棄。根之本無據。末之將何至。所以大小學。次第分首尾。由來庸學道。亦自有綱紀。知行有先後。顯微有隱費。渾然而燦然。衆象自昭示。誰知率性道。應在五倫事。大哉聖神術。經權有張弛。的哉實而當。若道之有里。躐等淪虛寂。毋若老佛氏。</text>
<title>次梧柳堂韻 李僉使潤堂號</title>,<text>有才空老恨無功。身健誰知矍鑠翁。見理妙方須實軆。感人要旨在虛中。溪山春日融融氣。梧柳朝陽淡淡風。一念每馳沙塞外。夢中猶試射鵰弓。</text>
<title>輓喚惺齋 權處士甲萬</title>,<text>猥托忘年契。恒深仰止情。功名無苟志。孝友是眞誠。學本程朱做。事由禮義行。有齎終未展。謾遺士林名。</text>
<title>走筆次東坡四時詞</title>,<text>重雲冲融惠雨落。太和氤氳無際幕。仁風習習潤四海。萬卉欣欣爭吐萼。胸中有蘊自透肌。上下同流知是誰。浴罷沂水意浩然。卓立高岡振新衣。右春洪爐炎炎晝漏永。地底陰生泉始冷。高堂意闌詠聲長。日午中庭風自靜。花心已亨不解顰。誰向枝頭調洪匀。田間鉏禾彼誰者。莫是神農世界人。右夏千山荒落麥初綠。寒聲夜捲瀟湘竹。征衣處處急宵砧。曉星錯落霜封屋。長城無賴固重扃。坐使漠南多王庭。誰知邊塞思歸客。月明羗笛戍樓聲。百草逢霜皆失綠。凜凜獨有淇園竹。水泉初涸玉宇淸。但見螢火流金屋。太微重重牢鎖扃。螢惑獨自朝天庭。日暮寒風閶闔來。千山萬山皆秋聲。菊心喜黃不喜綠。知心獨有凌霜竹。不學金谷媚雕樓。但向三逕護茅屋。東籬千載久掩扃。天然自保羲皇庭。冥冥有物亦解意。霜宵忽送天際聲。千山萬野皆失綠。傲霜獨有菊與竹。天心收斂義令行。一夜霜華封萬屋。重門寂寂閉深扃。但聞蟋蜶鳴寒庭。吾知美利利天下。不必愁聲但樂聲。右秋朔風如刀聲奏角。雪意滿天天色薄。地底潛陽忽天心。南鴈一聲歸碧落。喜見黃道轉金鴉。野馬初騰微生霞。誰知貞中已含元。春心先自上梅花。右冬</text>
<title>春江</title>,<text>活水淵淵活。洋洋出不窮。流爲千里勢。涵得渾天容。又脉脉知派理。昭昭認水宗。以玆作心境。可與帝心通。又水穩波自靜。渾然不辨宗。浩浩淵淵處。空明上下通。又洋洋有活水。洋洋有野馬。洋洋無遠邇。洋洋無上下。又活水源派旺。洋洋千里流。淵淵能不息。逝者如斯夫。又觀水自有術。觀之在觀瀾。觀內由觀外。在乎識其端。又水性本通活。逶迤順勢流。來來復去去。來去不知休。又衆派合爲一。渾然是燦然。洋洋自浩浩。浩浩本淵淵。又體山自有得。三角㝡尊重。何如淵淵水。虛明澈底洞。</text>
<title>春朝渼湖</title>,<text>虛明潛密且淵深。混沌將分象已森。天外曉陰初破墨。日邊朝彩自含金。盈堤草色皆生意。籠岸楊枝揔嫩心。江上渺然無盡趣。霧中圖畫萬家林。</text>
<title>宗姪而休慕馮婦之勇。冐危險以一丸鐵。殺率兩子之孶虎。壯其勇戒其愚。</title>,<text>猛虎當山恣嘯風。揚沙拔木勢掀空。爾能除去人間害。幸爾神丸一放中。</text>
<title>春日江意</title>,<text>天光水色洞虛明。浩浩淵淵若有情。氤氳野馬無邊象。始信乹坤揔是生。</text>
<title>春興</title>,<text>春江水活綠初生。掠岸數群鴻鴈聲。盡日沿江俱興趣。汀花岸柳揔閒情。</text>
<title>砥平道中作</title>,<text>千山萬水各分形。姸醜中含美惡情。軆水軆山皆有道。山於凝靜水通明。又天地中間衆物形。物皆分類各其情。纔通彼處卽通此。通得盡來無不明。又一物具來有一形。各因其性得其情。能先循性能循物。贊化參天是至明。</text>
<title>砥平釜谷道中</title>,<text>東峯日上曉陰收。水暖波明魚出游。天地卽今和氣像。綠楊紅杏揔風流。又春涵胸海興難收。神氣能參造化遊。魚躍鳶飛無盡妙。誰知敦化是川流。</text>
<title>樂山樂水</title>,<text>樂山樂水以何方。山水之情有短長。短者捨之長則取。此身隨處智仁鄕。</text>
<title>將訪族弟李士範。道中有感。</title>,<text>至誠能感精神知。吾弟心應暗動幾。遠峀雲生仍地勢。夕淵魚躍自天機。山村炊認農人息。野樹深知宿鳥依。芳草綠陰眞趣味。白沙川畔一柴扉。</text>
<title>次再從兄判官壽席韻 判官名瀅。字汝明。號四友堂。</title>,<text>六十一回初度躔。人間首福是今年。長生壽筭徵金骨。寸草春光泛玉船。席上舞斑五色戱。盤中蓮吐九秋鮮。吾門此事元難有。用詠新詩作久傳。</text>
<title>次尹德溥詠燈火韻</title>,<text>日月行天自貶褒。容光隨處燭絲毛。爾能得此精明理。界破陰陽不用刀。</text>
<title>代黜墻花。怨解語花。</title>,<text>白衣蒼狗變須臾。人間萬事無不有。橫罹之厄不虞生。無妄而然奈命爾。靑蠅從古善變化。白玉無端生瑕累。陰中密事我何與。一夕墻頭空抱寃。無心有心勢不同。我不能言君能言。靑天白日雨蕭蕭。無情有情其孰原。幽中自有鬼神知。鬼神應訴冥冥天。冥冥天有斗七星。七星各司冥冥權。神明造化本不測。禍福孰知其所然。人可制也其於天。天本無私臨頭上。人可欺也其於天。不知冥冥常陟降。</text>
<title>知味吟</title>,<text>平實是知味。奇異豈知味。適中是知味。先後豈知味。專一是知味。邪客豈知味。恒一是知味。中斷豈知味。着實是知味。悠泛豈知味。的實是知味。泛忽豈知味。務本是知味。浮文豈知味。精一斯知味。徒博豈知味。務內斯知味。務外豈知味。䂓矩斯知味。躐等豈知味。涵養斯知味。閒遊豈知味。省察斯知味。放怠豈知味。習熟斯知味。心生豈知味。先難斯知味。先易豈知味。眞味是眞味。強味豈眞味。若能知學味。自然是道味。</text>
<title>偶吟</title>,<text>愼其十目視。何尤人不知。德義自德義。是非自是非。</text>
<title>偶吟</title>,<text>靑山猶保本然岑。變態無常自古今。源泉日夜東流去。始覺人心是水心。</text>
<title>悼沈友定齋 名得經。字士常。</title>,<text>公私輕重已能分。信是光明正直人。平日所存謙未著。臨終方自驗其眞。又大軆吾知已見明。存心誰識到眞誠。工夫氣質俱堅確。所操分明判重輕。又坦坦爲懷物累輕。俗心全盡到公平。㓒生大意才能見。恨不遐年得大成。</text>
<title>李士範家雜詠</title>,<text>誰縮崑崙大。卷之成此形。中藏眞造化。生意常含靑。右恠石孤苦伯夷節。凜乎誰敢移。綱常猶不墜。萬古寓於斯。右孤竹西湖初伴鶴。後庭始煮靑。若登商王鼎。爾責方可盈。冷香涵踈影。嫩枝三兩靑。㝡愛西湖雪。凉月夜窓盈。右盆梅凜乎傲霜節。獨保東籬前。不肯與桃李。三春爭媸姸。右叢菊不有歲寒節。誰識後凋資。尙矣宣尼訓。常爲百代師。右側栢蓮花君子取。愛爾類乎蓮。名以充其操。衆芳誰敢前。右木蓮爾有何才德。列之君子庭。非取繁華餙。憐其愛日誠。盛夏天氣熱。衆芳列中庭。傾心戀白日。獨愛爾深誠。右葵花全禀五行氣。恒靑衆卉間。誰能如爾一。徧作四時看。右月桂</text>
<title>小皆骨</title>,<text>漢山如白玉。白玉如漢山。皎然百餘里。灑然圖畫間。</text>
<title>光陵楓葉</title>,<text>天有自然節。地有粲然文。誰識神造妙。渾然本無痕。</text>
<title>過眞木亭悼澤甫 韓宗澤字</title>,<text>見木猶知敬。况乎對眞人。依然講道義。怳然見形神。</text>
<title>看秋悼澤甫</title>,<text>吾道日益孤。哲人今何去。無非講學塲。揔是傷心處。</text>
<title>挽沈定齋</title>,<text>旣嗇冉牛壽。何無伯道兒。學從經傳得。德有鬼神知。靜到潛心處。默窺大意時。遽然天奪速。謾作士林悲。又失一人間第二吾。涼涼天地作癡愚。從今莫向鐘崖舍。相對悽然兩白鬚。</text>
<title>過孫武陵有感</title>,<text>十七隨季父。來休此岩頭。存沒人間世。遽然三十秋。</text>
